,Classifier,Parameters,F1,MCC,Accuracy,ROC_AUC,Recall
0,Logistic Regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7479935794542537,0.5843304666569469,0.793827971109652,0.7834323094187594,0.6812865497076024
1,XGBoost,"{'gamma': 2, 'learning_rate': 0.1, 'max_depth': 20, 'n_estimators': 20}",0.519453207150368,0.44120499997154894,0.6999343401181878,0.6686366044232552,0.3611111111111111
2,Gradient Boosting Classifier,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 10}",0.5105932203389831,0.435843564507674,0.6966513460275772,0.6648465870675896,0.35233918128654973
3,KNN,"{'leaf_size': 1, 'n_neighbors': 1, 'p': 1}",0.47234042553191496,0.377811881665039,0.6743269862114248,0.6420184848294753,0.32456140350877194
4,Random Forest,"{'max_depth': 9, 'n_estimators': 5}",0.2917181705809641,0.2975074320541801,0.623768877216021,0.5820856770452154,0.17251461988304093
