,Classifier,Parameters,F1,MCC,Accuracy,ROC_AUC,Recall
2,Gradient Boosting Classifier,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 10}",0.8985959438377535,0.8835000221559715,0.9729166666666667,0.9308080808080808,0.8727272727272727
0,Logistic Regression,{'C': 1.7999999999999998},0.8899224806201551,0.873160427905776,0.9704166666666667,0.9280851998243304,0.8696969696969697
3,Random Forest Classifier,"{'max_depth': 9, 'n_estimators': 9}",0.8661417322834646,0.8466415270266374,0.9645833333333333,0.9094202898550726,0.8333333333333334
1,XGBoost,"{'gamma': 2, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 20}",0.0,-0.01153087344543216,0.8616666666666667,0.4995169082125604,0.0
